"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_2836","Bacteria","Elusimicrobia","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_4555","Bacteria","Elusimicrobia","Elusimicrobia","unclassified","unclassified","unclassified","unclassified"
"OTU_5108","Bacteria","Elusimicrobia","Endomicrobia","unclassified","unclassified","unclassified","unclassified"
"OTU_4627","Bacteria","Elusimicrobia","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_35792","Bacteria","Elusimicrobia","Endomicrobia","unclassified","unclassified","unclassified","unclassified"
"OTU_33709","Bacteria","Elusimicrobia","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_11726","Bacteria","Elusimicrobia","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_27860","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_5777","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_8484","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_6731","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_5707","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_11631","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_3498","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_5341","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_10422","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_12557","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_28932","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_10911","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_5249","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_4708","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_7482","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_5286","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_4646","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_29797","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_10776","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
