"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"33","OTU_01666","Bacteria","Gemmatimonadetes","Gemm-1",NA,NA,NA,NA,0,0.01,0,0,0,0,0,0.01,0,0,0.03,0,0,0,0.04,0.02,0,0,0.06,0.08,0,0,0,0,0,0,0,0
"36","OTU_01766","Bacteria","Chlorobi","BSV26",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.06,0,0.01,0,0,0,0,0,0.01,0,0,0,0
"37","OTU_01796","Bacteria","GN02","BB34",NA,NA,NA,NA,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0
"40","OTU_01851","Bacteria","BRC1","PRR-11",NA,NA,NA,NA,0,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","OTU_01883","Bacteria","Bacteroidetes","VC2_1_Bac22",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
"42","OTU_01893","Bacteria","GN02","3BR-5F",NA,NA,NA,NA,0,0,0,0,0.02,0.01,0,0.06,0,0.01,0,0,0,0.01,0,0.03,0,0,0,0,0,0,0,0.01,0,0.02,0,0.01
"45","OTU_02024","Bacteria","Actinobacteria","OPB41",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0
"46","OTU_02125","Bacteria","Hyd24-12","WM88",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"48","OTU_02156","Bacteria","Elusimicrobia","Elusimicrobia",NA,NA,NA,NA,0,0,0,0,0.44,0,0,0.22,0,0.01,0,0.01,0,0.03,0,0.1,0,0,0,0,0,0,0,0.02,0,0,0,0
"49","OTU_02160","Bacteria","WS5","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0.01,0,0.02
"53","OTU_02263","Bacteria","Actinobacteria","Rubrobacteria",NA,NA,NA,NA,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","OTU_02351","Bacteria","WS6","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
