"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"94","OTU_00196","Bacteria","Verrucomicrobia","Opitutae","Cerasicoccales",NA,NA,NA,0,0.01,0.09,0.37,0,0.23,0.03,0.29,0,0.29,0.03,0.21,0.08,0.01,0.22,0.32,0,0,1.05,0.02,0,0.02,0,0.03,0,0.02,0,0
"96","OTU_00197","Bacteria","Cyanobacteria","Chloroplast","unclassified",NA,NA,NA,0,0,0,0.01,0.07,0.06,0.02,0.03,0,0.01,0.06,0,0,0,0.06,0,0.01,0,0,0.01,0,0,0,0.01,0.34,0.05,0,0
"106","OTU_00215","Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,NA,0.02,0,0.83,0.02,0.56,0.03,0.08,0.14,0.77,0.03,0.08,0.24,0.19,0.02,0.46,0.01,0.16,0.06,0.03,0,0,0,0.03,0.05,0.02,0.05,0.02,0
"109","OTU_00218","Bacteria","Proteobacteria","Gammaproteobacteria","LiUU-3-334",NA,NA,NA,0,0.02,0,1.12,0.05,0.09,0.01,0.03,0.01,0.02,0.19,0.15,0,0.73,0,0.03,0.02,0.61,0,0.15,0,0,0,0.04,0,0.02,0,0
"110","OTU_00221","Bacteria","unclassified","unclassified","unclassified",NA,NA,NA,0.01,0.12,0,0.13,1,0.49,0.01,0.36,0,0.2,0.14,0.17,0.01,0.11,0,0.49,0,0.21,0.13,0.09,0.01,0.08,0.01,0.36,0,0.12,0.01,0.1
"114","OTU_00223","Bacteria","Thermi","Deinococci","Deinococcales",NA,NA,NA,0,0.04,0,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,1.12,0,0,0,0,0
"117","OTU_00230","Bacteria","Planctomycetes","Planctomycetia","Gemmatales",NA,NA,NA,0,0,0,0.03,0,0,0.02,0.65,0.02,0,0,0.01,0,0.05,0,0.01,0,0,0,0.01,0,0,0,0.02,0,0.17,0,0
"134","OTU_00268","Bacteria","Cyanobacteria","unclassified","unclassified",NA,NA,NA,0,0,0,0,0,1.28,0,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0
"143","OTU_00285","Bacteria","Verrucomicrobia","Spartobacteria","Spartobacteriales",NA,NA,NA,0,0.06,0.02,0.04,0,0.14,0,0.74,0,0.02,0,0.01,0,0.01,0.13,0.11,0,0,0.35,0.07,0,0,0,0.03,0,0.04,0,0
"147","OTU_00291","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA,0,0,0.36,0.73,0,0.11,0.03,0.4,0,0.04,0.13,0.06,0.28,0.12,0,0.11,0.02,0.08,0.01,0,0.01,0.01,0.01,0.08,0,0.06,0,0
"153","OTU_00294","Bacteria","Proteobacteria","Betaproteobacteria","betV",NA,NA,NA,0,0.07,0,0.01,0,0.03,0,0.03,0,0.03,0,0,0,0.6,0,0.07,0,0.01,0,0.01,0,0,0,0.02,0,0,0,0
"156","OTU_00296","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA,NA,0.01,0.27,0,0.02,0,0.49,0.01,0.65,0,0.06,0.01,0.01,0.01,0.04,0.01,0.02,0,0,0.03,0.58,0,0,0,0.15,0,0.24,0.02,0.01
"168","OTU_00304","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,0,0.06,0.01,0.03,0.05,0.71,0.04,0.54,0.07,0.01,0.01,0.05,0,0.47,0,0.22,0.11,0.07,0.03,0.21,0,0.01,0,2.53,0,0.1,0.01,0.02
"171","OTU_00318","Bacteria","Proteobacteria","Betaproteobacteria","unclassified",NA,NA,NA,0.01,0.03,0.04,0.23,0,0.12,0.03,0.31,0.09,0.08,0,0.03,0.25,0.84,0.06,0.16,0.29,0.08,0.92,0.39,0.09,0.03,0.01,0.32,0.01,0.01,0,0
"173","OTU_00320","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0
"179","OTU_00334","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales",NA,NA,NA,0,0.01,0.01,0.38,0.25,0.03,0.02,0.35,0,0,0.01,0.01,0,0.04,0.31,0.15,0.04,0.03,0.11,0,0,0,0.01,0.01,0.02,1.04,0,0
"180","OTU_00337","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales",NA,NA,NA,0,0.01,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0
"181","OTU_00339","Bacteria","Cyanobacteria","Oscillatoriophycideae","Oscillatoriales",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.11,0,0,0.01,0,0,0
"184","OTU_00342","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,0,0,0,0.23,0,0,0.03,0.42,0.06,0,0.05,0.01,0.04,0.12,0,0.03,0.15,0.02,0.04,0.01,0.3,0,0.01,0.01,0.29,0,0.05,0
"189","OTU_00349","Bacteria","Acidobacteria","Holophagae","Holophagales",NA,NA,NA,0,0,0.01,0,0,0.01,0.01,0.31,0,0,0,0,0,0.07,0,0.03,0,0,0.02,1.69,0,0,0,0,0,0,0,0
"196","OTU_00355","Bacteria","Spirochaetes","Leptospirae","Leptospirales",NA,NA,NA,0,0,0,0.41,0,0.01,0.01,0,0,0.12,0,0.22,0,0.01,0,0,0,0.5,0,0,0,0.02,0,0,0,0.01,0,0
"197","OTU_00356","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales",NA,NA,NA,0,1.15,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.08,0,0,0,0
"199","OTU_00357","Bacteria","Cyanobacteria","ML635J-21","unclassified",NA,NA,NA,0,0,0,0.58,0,0,0.01,0.03,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0
"205","OTU_00371","Bacteria","Proteobacteria","Deltaproteobacteria","Spirobacillales",NA,NA,NA,0,0.02,0.06,1.09,0,0.04,0.01,0.19,0,0.1,0,0.14,0,0.04,0,0.09,0,0.26,0,0.03,0,0.01,0.01,0.01,0.01,0.09,0.02,0
"207","OTU_00378","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales",NA,NA,NA,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","OTU_00380","Bacteria","Proteobacteria","Betaproteobacteria","Thiobacterales",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
"210","OTU_00384","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA,NA,0,0.14,0,0.03,0,0.1,0,0.41,0,0.1,0,0.01,0,0.08,0,0.04,0.05,0.01,0.03,0.24,0,0,0,0.21,0,0.2,0,0
"212","OTU_00391","Bacteria","Cyanobacteria","Chloroplast","Stramenopiles",NA,NA,NA,0.02,0,0.2,0.12,1.9,0.09,0.3,0.13,2.75,0.1,0.19,0.1,0.51,0.04,1.27,0.06,0,0.09,0.29,0.01,0.11,0.01,0.06,0.01,0.24,0.02,0.33,0.01
"213","OTU_00394","Bacteria","Actinobacteria","MB-A2-108","0319-7L14",NA,NA,NA,0,0,0,0,0,0,0.01,0.34,0.01,0,0,0,0,0,0,0.03,0,0.01,0.01,0,0,0,0.02,0,0,0,0,0
"215","OTU_00401","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales",NA,NA,NA,0,0,0.01,0.01,0.07,0.06,0,0.01,0,0,0,0,1.59,0.02,0,0.02,0,0,0.01,0.01,0,0,0.02,0.06,0.01,0.01,0,0
"218","OTU_00412","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales",NA,NA,NA,0,0.01,0.08,0.13,0,0.11,0.01,0.76,0.02,0.06,0.01,0.08,0,0.24,0.04,0.12,0,0.09,0.01,0.01,0,0.01,0.03,0.84,0.01,0.15,0,0.02
"219","OTU_00413","Bacteria","Verrucomicrobia","Opitutae","Opitutales",NA,NA,NA,0,0.02,0,0.09,0,0.04,0,0.28,0,0.02,0,0.01,0,0.22,0,0.04,0,0.04,0,0.02,0.02,0,0,0.06,0,0.01,0,0
"220","OTU_00416","Bacteria","Cyanobacteria","Chloroplast","Cryptophyta",NA,NA,NA,0,0,0,0.05,0,0.02,0,0,0,0.04,0,0.07,0,0.05,0,0.01,0,0,0,0,0,0.06,0,0.01,0,0,0,0.01
"242","OTU_00501","Bacteria","Verrucomicrobia","Pedosphaerae","Pedosphaerales",NA,NA,NA,0,0,0.04,0.36,0,0.01,0.02,0.11,0,0.03,0,0.02,0.06,0.1,0,0.02,0,0.07,0.04,0,0,0,0,0.01,0,0,0,0
"243","OTU_00505","Bacteria","Proteobacteria","TA18","PHOS-HD29",NA,NA,NA,0,0.01,0.05,0.35,0,0.02,0,0.02,0,0,0,0,0,0.05,0,0.04,0.03,0.03,0.01,0,0,0,0,0.03,0,0.03,0,0.01
"245","OTU_00506","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales",NA,NA,NA,0,0,0,0.01,0,0.03,0,0.01,0,0.01,0,0.04,0,0,0,0.01,0.08,0.06,0,0,0,0.05,0,0,0,0,0,0
"249","OTU_00524","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15",NA,NA,NA,0,0,0,0,0.19,0,0.03,0.9,0,0.01,0.01,0.02,0.13,0.5,0.06,0.17,0,0.05,0.01,0.08,0.01,0,0,0.24,0,0.04,0,0
"251","OTU_00526","Bacteria","TM7","TM7-1","unclassified",NA,NA,NA,0,0.07,0,0.01,0,0.35,0,0.68,0.05,0.04,0,0.01,0,0.04,0,0.5,0,0.06,0,0.01,0,0.04,0.02,0.21,0,0.11,0,0.45
"263","OTU_00559","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA,0,0,0,0,0.16,0,0.01,0.13,0.09,0,0,0,0,0,0.22,0.01,0,0,0.01,0,0.01,0,0.23,0,0,0,0.01,0
"267","OTU_00571","Bacteria","Proteobacteria","Betaproteobacteria","Procabacteriales",NA,NA,NA,0,0,0.02,0.01,0,0,0,0.04,0,0.06,0,0,0.06,0,0,0.02,0,0.04,0,0,0,0,0.18,0.01,0,0.12,0,0
"272","OTU_00580","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomondales",NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0
"281","OTU_00596","Bacteria","Proteobacteria","Betaproteobacteria","Ellin6067",NA,NA,NA,0,0.03,0,0,0,0,0,0.03,0,0.01,0,0.02,0,0.02,0,0.07,0,0.07,0.1,0,0,0,0.02,0.03,0.01,0.01,0,0
"285","OTU_00605","Bacteria","TM7","TM7-3","EW055",NA,NA,NA,0,0,0,0,0,0.01,0,0.16,0,0,0,0.01,0,0.01,0,0.02,0,0.13,0,0.01,0,0.01,0,0.34,0,0,0,0
"291","OTU_00642","Bacteria","Chloroflexi","Anaerolineae","SHA-20",NA,NA,NA,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.03,0,0,0,0,0
"292","OTU_00647","Bacteria","Actinobacteria","Actinobacteria","unclassified",NA,NA,NA,0,0.18,0,0.01,0,0.01,0,0.06,0,0,0,0,0,0.02,0,0.02,0,0,0,0.32,0,0.01,0,0.01,0,0.27,0,0
"296","OTU_00676","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales",NA,NA,NA,0,0.01,0.02,0.29,0,0.02,0,0.03,0,0.02,0,0.03,0,0.1,0,0.07,0,0.12,0,0.05,0,0,0,0,0,0.01,0,0
"297","OTU_00678","Bacteria","Spirochaetes","Spirochaetes","unclassified",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0
"301","OTU_00704","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46",NA,NA,NA,0,0,0,0.06,0,0,0,0.15,0,0,0,0.01,0,0.12,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0
"303","OTU_00725","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,0,0,0.12,0.01,1.5,0.02,0.02,0.08,0.14,0.02,0.01,0.05,0.13,0.08,0,0.11,0.02,0.01,0,0,0,0.03,0,0,0.01,0.09,0.02,0.01
"308","OTU_00748","Bacteria","Proteobacteria","Alphaproteobacteria","BD7-3",NA,NA,NA,0,0,0,0,0,0.01,0.01,0.14,0,0.01,0,0,0,0.02,0,0.14,0,0.05,0,0,0,0,0.01,0.12,0,0,0,0.01
"311","OTU_00765","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales",NA,NA,NA,0,0,0.02,0,0.07,0,0,0,0.05,0,0.01,0.02,0,0,0.03,0,0.05,0,0,0,0,0,0.01,0.01,0,0.02,0,0
"312","OTU_00768","Bacteria","TM7","SC3","unclassified",NA,NA,NA,0,0,0,0.01,0,0.01,0,0.2,0,0.01,0,0,0,0.11,0,0.02,0,0,0,0,0,0.01,0,0.03,0,0.01,0,0
"313","OTU_00771","Bacteria","Gemmatimonadetes","Gemm-4","unclassified",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"322","OTU_00869","Bacteria","OD1","ZB2","unclassified",NA,NA,NA,0,0.02,0,0.02,0,0.08,0,0.12,0,0.08,0,0.01,0,0.26,0,0.36,0,0.01,0,0,0,0.01,0,0.74,0,0.13,0,0.15
"324","OTU_00873","Bacteria","Planctomycetes","ODP123","T8-B82",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0
"329","OTU_00908","Bacteria","OD1","Mb-NB09","unclassified",NA,NA,NA,0,0,0,0,0,0.01,0,0,0,0.01,0,0.02,0,0.01,0,0.03,0,0.04,0,0,0,0,0,0.01,0,0,0,0
"330","OTU_00913","Bacteria","Gemmatimonadetes","Gemm-2","unclassified",NA,NA,NA,0,0,0,0,0.07,0.01,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.26,0,0,0,0
"331","OTU_00914","Bacteria","Bacteroidetes","Rhodothermi","Rhodothermales",NA,NA,NA,0,0.07,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.09,0,0,0,0.01
"332","OTU_00920","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales",NA,NA,NA,0.01,0,0,0,0,0,0,0.01,0.2,0,0,0.02,0,0,0,0.09,0.01,0,0,0,0.01,0,0,0.01,0,0.03,0,0
"335","OTU_00940","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales",NA,NA,NA,0,0,0.03,0,0.02,0,0,0.01,0.04,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0.02,0,0
"336","OTU_00946","Bacteria","Chloroflexi","Gitt-GS-136","unclassified",NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
