"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"746","OTU_00479","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",NA,0.01,0.02,0,0.01,0.32,0.23,0.12,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0.02,0
"748","OTU_00484","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",NA,0,0,0,0,0,0.01,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"751","OTU_00493","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Iodobacter",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.01,0,0,0
"752","OTU_00495","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","unclassified","unclassified",NA,0,0,0,0,0,0.21,0,0,0,0.01,0,0,0,0,0,0,0,0,0.04,0.03,0,0,0,0.01,0,0,0,0
"755","OTU_00499","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Nesterenkonia",NA,0.04,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0
"758","OTU_00501","Bacteria","Verrucomicrobia","Pedosphaerae","Pedosphaerales","R4-41B","unclassified",NA,0,0,0.04,0.36,0,0.01,0,0.1,0,0.03,0,0.02,0,0.1,0,0.01,0,0.07,0.01,0,0,0,0,0.01,0,0,0,0
"760","OTU_00505","Bacteria","Proteobacteria","TA18","PHOS-HD29","unclassified","unclassified",NA,0,0.01,0.05,0.35,0,0.02,0,0.02,0,0,0,0,0,0.05,0,0.04,0.03,0.03,0.01,0,0,0,0,0.03,0,0.03,0,0.01
"762","OTU_00506","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales","unclassified","unclassified",NA,0,0,0,0.01,0,0.03,0,0.01,0,0.01,0,0.04,0,0,0,0.01,0.08,0.06,0,0,0,0.05,0,0,0,0,0,0
"763","OTU_00507","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Blastococcus",NA,0,0,0,0,0,0,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"768","OTU_00515","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA,0.01,0,0,0.01,0.19,0.1,0.12,0.79,0.05,0.01,0,0,0.07,0,0.71,0.06,0,0.05,0.02,0,0.04,0.01,0,0.01,0,0.01,0,0
"772","OTU_00517","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sandarakinorhabdus",NA,0,0,0,0.12,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0
"776","OTU_00524","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","mb2424","unclassified",NA,0,0,0,0,0,0,0.01,0.1,0,0,0,0.01,0.08,0.31,0,0.06,0,0.04,0,0,0,0,0,0,0,0.01,0,0
"778","OTU_00526","Bacteria","TM7","TM7-1","unclassified","unclassified","unclassified",NA,0,0.07,0,0.01,0,0.35,0,0.68,0.05,0.04,0,0.01,0,0.04,0,0.5,0,0.06,0,0.01,0,0.04,0.02,0.21,0,0.11,0,0.45
"780","OTU_00529","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lutibacter",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0
"783","OTU_00530","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia",NA,0,0.01,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0.03,0.01
"789","OTU_00537","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"791","OTU_00541","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Frigoribacterium",NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"796","OTU_00545","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium",NA,0.09,0,0,0,0,0,0,0.09,0.01,0,0,0,0,0,0.06,0.04,0,0,0,0,0.01,0,0,0,0,0,0.02,0
"810","OTU_00559","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Gluconacetobacter",NA,0,0,0,0,0.07,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.22,0,0,0,0,0
"817","OTU_00570","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","unclassified",NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0.08,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"818","OTU_00571","Bacteria","Proteobacteria","Betaproteobacteria","Procabacteriales","Procabacteriaceae","unclassified",NA,0,0,0,0.01,0,0,0,0.04,0,0.06,0,0,0.06,0,0,0.02,0,0.04,0,0,0,0,0.18,0.01,0,0.12,0,0
"821","OTU_00575","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","Hyphomonas",NA,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.03,0,0.01
"823","OTU_00578","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus",NA,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"827","OTU_00580","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomondales","gamIII","gamIII-A",NA,0,0,0,0,0,0,0,0.01,0,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0
"830","OTU_00585","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","unclassified",NA,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0.07,0.04
"833","OTU_00589","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylomonas",NA,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
