"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"7354","OTU_05841","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7355","OTU_05842","Bacteria","OD1","ABY1","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0
"7356","OTU_05845","Bacteria","OP11","OP11-3","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7357","OTU_05846","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7358","OTU_05848","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7359","OTU_05849","Bacteria","TM7","TM7-1","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7361","OTU_05851","Bacteria","OD1","ZB2","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7362","OTU_05852","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7363","OTU_05853","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7364","OTU_05854","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","AK1AB1_02E","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7365","OTU_05855","Bacteria","GN02","GKS2-174","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7366","OTU_05856","Bacteria","Acidobacteria","Chloracidobacteria","DS-100","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
"7367","OTU_05857","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","phosphatis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
"7368","OTU_05858","Bacteria","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7369","OTU_05859","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7370","OTU_05860","Bacteria","WS5","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7371","OTU_05861","Bacteria","Chlorobi","BSV26","C20","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"7372","OTU_05862","Bacteria","GN02","GKS2-174","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7373","OTU_05863","Bacteria","TM7","TM7-1","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7374","OTU_05864","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7375","OTU_05865","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
"7376","OTU_05866","Bacteria","Verrucomicrobia","Pedosphaerae","Pedosphaerales","Pedosphaeraceae","Pedosphaera","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7377","OTU_05867","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7378","OTU_05868","Bacteria","GN02","BB34","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7379","OTU_05869","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7381","OTU_05870","Bacteria","TM6","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7382","OTU_05871","Bacteria","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"7383","OTU_05872","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","unclassified","unclassified",0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7384","OTU_05873","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7385","OTU_05874","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Eubacterium","dolichum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7386","OTU_05875","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7387","OTU_05876","Bacteria","Proteobacteria","Betaproteobacteria","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"7388","OTU_05877","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7389","OTU_05878","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
"7390","OTU_05879","Bacteria","Cyanobacteria","Oscillatoriophycideae","Oscillatoriales","Phormidiaceae","Planktothrix","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7392","OTU_05882","Bacteria","OD1","ZB2","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7393","OTU_05885","Bacteria","SR1","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7394","OTU_05886","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7395","OTU_05887","Bacteria","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7396","OTU_05888","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","mexicanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7398","OTU_05890","Bacteria","Proteobacteria","Betaproteobacteria","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"7399","OTU_05891","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7400","OTU_05892","Bacteria","TM7","TM7-1","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7401","OTU_05893","Bacteria","WS6","B142","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7402","OTU_05894","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7403","OTU_05896","Bacteria","Proteobacteria","Alphaproteobacteria","BD7-3","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7404","OTU_05897","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7407","OTU_05900","Bacteria","OP11","OP11-3","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7408","OTU_05901","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,7.42,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0
"7409","OTU_05902","Bacteria","WS5","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7410","OTU_05903","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7411","OTU_05905","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7412","OTU_05906","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7413","OTU_05907","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","C111","unclassified","unclassified",0.01,0.29,0,0.41,0,0.03,0,0,0,0,0,0,0,0.72,0.04,0.02,0,0,0,0.21,0,0,0,0,0,0,0,0
"7414","OTU_05908","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7415","OTU_05909","Bacteria","Cyanobacteria","Chloroplast","Chlorophyta","Chlamydomonadaceae","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7417","OTU_05910","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7418","OTU_05912","Bacteria","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7419","OTU_05913","Bacteria","Proteobacteria","Alphaproteobacteria","BD7-3","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7420","OTU_05914","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7421","OTU_05915","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7422","OTU_05916","Bacteria","OD1","SM2F11","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7423","OTU_05917","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"7424","OTU_05918","Bacteria","SAR406","AB16","SSW63Au","SHAS460","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
"7425","OTU_05919","Bacteria","Chlorobi","BSV26","C20","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"7427","OTU_05921","Bacteria","OD1","ABY1","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7428","OTU_05923","Bacteria","Proteobacteria","Alphaproteobacteria","BD7-3","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"7429","OTU_05924","Bacteria","WS3","PRR-12","Sediment-1","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"7430","OTU_05925","Bacteria","SR1","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7431","OTU_05926","Bacteria","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7432","OTU_05927","Bacteria","TM6","SJA-4","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7433","OTU_05929","Bacteria","OD1","ZB2","unclassified","unclassified","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
